reaction,reaction_normalized,custom_group,custom_group_label,mapping_basis
Congenital Musculoskeletal Anomaly,Congenital Musculoskeletal Anomaly,other,Other / manual review,fallback
Therapeutic Embolisation,Therapeutic Embolisation,cardiovascular,Cardiovascular,rule
Fallopian Tube Operation,Fallopian Tube Operation,procedure,Procedures and interventions,rule
Skin Ulcer Haemorrhage,Skin Ulcer Haemorrhage,gastrointestinal,Gastrointestinal,rule
Pericardial Disease,Pericardial Disease,cardiovascular,Cardiovascular,rule
Product Name Confusion,Product Name Confusion,psychiatric,Psychiatric and behavioural,rule
Endotracheal Intubation,Endotracheal Intubation,respiratory,Respiratory,rule
Burnout Syndrome,Burnout Syndrome,injury,Injury and poisoning,rule
Vocal Cord Dysfunction,Vocal Cord Dysfunction,other,Other / manual review,fallback
Bone Tuberculosis,Bone Tuberculosis,infection,Infections,rule
Aortoenteric Fistula,Aortoenteric Fistula,other,Other / manual review,fallback
Genital Erythema,Genital Erythema,dermatological,Skin and subcutaneous tissue,rule
Application Site Hypoaesthesia,Application Site Hypoaesthesia,device,Device and procedure-related,rule
Deafness Transitory,Deafness Transitory,other,Other / manual review,fallback
Mouth Breathing,Mouth Breathing,other,Other / manual review,fallback
Metastases To Bone Marrow,Metastases To Bone Marrow,neoplasm,Neoplasms,rule
Malacoplakia Gastrointestinal,Malacoplakia Gastrointestinal,laboratory,Laboratory and investigation,rule
Corpora Cavernosa Surgery,Corpora Cavernosa Surgery,procedure,Procedures and interventions,rule
Central Nervous System Fungal Infection,Central Nervous System Fungal Infection,infection,Infections,rule
Neuromuscular Blockade,Neuromuscular Blockade,other,Other / manual review,fallback
Lower Respiratory Tract Infection Fungal,Lower Respiratory Tract Infection Fungal,infection,Infections,rule
Burning Mouth Syndrome,Burning Mouth Syndrome,injury,Injury and poisoning,rule
Exostosis Of Jaw,Exostosis Of Jaw,other,Other / manual review,fallback
Stab Wound,Stab Wound,injury,Injury and poisoning,rule
Nasal Septum Perforation,Nasal Septum Perforation,respiratory,Respiratory,rule
Hypophosphataemic Osteomalacia,Hypophosphataemic Osteomalacia,other,Other / manual review,fallback
Right Ventricle Outflow Tract Obstruction,Right Ventricle Outflow Tract Obstruction,other,Other / manual review,fallback
Spinal Deformity,Spinal Deformity,musculoskeletal,Musculoskeletal,rule
Dependence On Respirator,Dependence On Respirator,other,Other / manual review,fallback
Lung Transplant Rejection,Lung Transplant Rejection,respiratory,Respiratory,rule
Nasal Mucosal Ulcer,Nasal Mucosal Ulcer,respiratory,Respiratory,rule
Mononucleosis Syndrome,Mononucleosis Syndrome,other,Other / manual review,fallback
Orthognathic Surgery,Orthognathic Surgery,procedure,Procedures and interventions,rule
Malabsorption From Application Site,Malabsorption From Application Site,device,Device and procedure-related,rule
Prostatic Abscess,Prostatic Abscess,other,Other / manual review,fallback
Electrocardiogram T Wave Amplitude Decreased,Electrocardiogram T Wave Amplitude Decreased,laboratory,Laboratory and investigation,rule
Allergy To Immunoglobulin Therapy,Allergy To Immunoglobulin Therapy,immune_inflammatory,Immune and inflammatory,rule
Pupillary Disorder,Pupillary Disorder,other,Other / manual review,fallback
Spasmodic Dysphonia,Spasmodic Dysphonia,other,Other / manual review,fallback
Enterocolitis Haemorrhagic,Enterocolitis Haemorrhagic,infection,Infections,rule
Burn Oesophageal,Burn Oesophageal,gastrointestinal,Gastrointestinal,rule
Serum Ferritin Abnormal,Serum Ferritin Abnormal,laboratory,Laboratory and investigation,rule
Acute On Chronic Liver Failure,Acute On Chronic Liver Failure,gastrointestinal,Gastrointestinal,rule
Pancreatitis Relapsing,Pancreatitis Relapsing,gastrointestinal,Gastrointestinal,rule
Total Lung Capacity,Total Lung Capacity,respiratory,Respiratory,rule
Pupil Fixed,Pupil Fixed,other,Other / manual review,fallback
Abscess Of Salivary Gland,Abscess Of Salivary Gland,other,Other / manual review,fallback
Androgen Deficiency,Androgen Deficiency,other,Other / manual review,fallback
High Frequency Ablation,High Frequency Ablation,other,Other / manual review,fallback
Food Aversion,Food Aversion,other,Other / manual review,fallback
Family Stress,Family Stress,other,Other / manual review,fallback
Acquired Oesophageal Web,Acquired Oesophageal Web,gastrointestinal,Gastrointestinal,rule
Oesophageal Fistula,Oesophageal Fistula,gastrointestinal,Gastrointestinal,rule
Corneal Endothelial Cell Loss,Corneal Endothelial Cell Loss,ocular,Eye and vision,rule
Cavernous Sinus Thrombosis,Cavernous Sinus Thrombosis,cardiovascular,Cardiovascular,rule
Ichthyosis Acquired,Ichthyosis Acquired,other,Other / manual review,fallback
Ejection Fraction,Ejection Fraction,other,Other / manual review,fallback
Persistent Left Superior Vena Cava,Persistent Left Superior Vena Cava,device,Device and procedure-related,rule
Walking Distance Test Abnormal,Walking Distance Test Abnormal,laboratory,Laboratory and investigation,rule
Diaphragmatic Disorder,Diaphragmatic Disorder,other,Other / manual review,fallback
Thyroglobulin Increased,Thyroglobulin Increased,laboratory,Laboratory and investigation,rule
Kidney Rupture,Kidney Rupture,renal_urinary,Renal and urinary,rule
Axial Spondyloarthritis,Axial Spondyloarthritis,musculoskeletal,Musculoskeletal,rule
Brain Tumour Operation,Brain Tumour Operation,neoplasm,Neoplasms,rule
Anal Ulcer,Anal Ulcer,gastrointestinal,Gastrointestinal,rule
Oesophageal Injury,Oesophageal Injury,gastrointestinal,Gastrointestinal,rule
Pancreatic Enlargement,Pancreatic Enlargement,gastrointestinal,Gastrointestinal,rule
Mean Platelet Volume Decreased,Mean Platelet Volume Decreased,laboratory,Laboratory and investigation,rule
Peak Expiratory Flow Rate Decreased,Peak Expiratory Flow Rate Decreased,laboratory,Laboratory and investigation,rule
Anxiety Disorder,Anxiety Disorder,psychiatric,Psychiatric and behavioural,rule
Ischaemic Cerebral Infarction,Ischaemic Cerebral Infarction,neurological,Nervous system and neurological,rule
Hyperglycaemic Hyperosmolar Nonketotic Syndrome,Hyperglycaemic Hyperosmolar Nonketotic Syndrome,other,Other / manual review,fallback
Polycystic Ovaries,Polycystic Ovaries,other,Other / manual review,fallback
Injection Site Paraesthesia,Injection Site Paraesthesia,device,Device and procedure-related,rule
Oesophageal Mass,Oesophageal Mass,gastrointestinal,Gastrointestinal,rule
Ingrown Hair,Ingrown Hair,other,Other / manual review,fallback
Oesophageal Intramural Haematoma,Oesophageal Intramural Haematoma,gastrointestinal,Gastrointestinal,rule
Viral Pharyngitis,Viral Pharyngitis,infection,Infections,rule
Neurological Infection,Neurological Infection,infection,Infections,rule
Application Site Acne,Application Site Acne,device,Device and procedure-related,rule
Bacterial Test,Bacterial Test,infection,Infections,rule
Dientamoeba Infection,Dientamoeba Infection,infection,Infections,rule
Renal Infarct,Renal Infarct,renal_urinary,Renal and urinary,rule
Tumour Pseudoprogression,Tumour Pseudoprogression,neoplasm,Neoplasms,rule
Injection Site Discharge,Injection Site Discharge,device,Device and procedure-related,rule
Bowen^S Disease,Bowen^S Disease,other,Other / manual review,fallback
Anal Polyp,Anal Polyp,neoplasm,Neoplasms,rule
Brain Natriuretic Peptide Abnormal,Brain Natriuretic Peptide Abnormal,laboratory,Laboratory and investigation,rule
Product Identification Number Issue,Product Identification Number Issue,other,Other / manual review,fallback
Terminal Insomnia,Terminal Insomnia,other,Other / manual review,fallback
Oropharyngeal Oedema,Oropharyngeal Oedema,respiratory,Respiratory,rule
Choroid Melanoma,Choroid Melanoma,neoplasm,Neoplasms,rule
Drug Level Changed,Drug Level Changed,medication_error,Medication errors and use issues,rule
Diarrhoea Neonatal,Diarrhoea Neonatal,pregnancy,Pregnancy and perinatal,rule
Drop Attacks,Drop Attacks,other,Other / manual review,fallback
Acid Base Balance Abnormal,Acid Base Balance Abnormal,laboratory,Laboratory and investigation,rule
Reye^S Syndrome,Reye^S Syndrome,ocular,Eye and vision,rule
Protein Total Abnormal,Protein Total Abnormal,laboratory,Laboratory and investigation,rule
Blood Triglycerides Abnormal,Blood Triglycerides Abnormal,laboratory,Laboratory and investigation,rule
Atrial Appendage Closure,Atrial Appendage Closure,cardiovascular,Cardiovascular,rule
Transmission Of An Infectious Agent Via Product,Transmission Of An Infectious Agent Via Product,infection,Infections,rule
Cardiac Failure High Output,Cardiac Failure High Output,cardiovascular,Cardiovascular,rule
Wound Closure,Wound Closure,injury,Injury and poisoning,rule
Pulmonary Vein Stenosis,Pulmonary Vein Stenosis,respiratory,Respiratory,rule
Pulmonary Arterial Pressure Abnormal,Pulmonary Arterial Pressure Abnormal,laboratory,Laboratory and investigation,rule
Salivary Gland Mass,Salivary Gland Mass,other,Other / manual review,fallback
Prostate Cancer Stage Iv,Prostate Cancer Stage Iv,neoplasm,Neoplasms,rule
Vitamin B6 Increased,Vitamin B6 Increased,laboratory,Laboratory and investigation,rule
Electrocardiogram T Wave Peaked,Electrocardiogram T Wave Peaked,laboratory,Laboratory and investigation,rule
Epstein-Barr Virus Test Positive,Epstein-Barr Virus Test Positive,infection,Infections,rule
Cervix Injury,Cervix Injury,injury,Injury and poisoning,rule
Laryngeal Dyspnoea,Laryngeal Dyspnoea,respiratory,Respiratory,rule
Heart Sounds,Heart Sounds,cardiovascular,Cardiovascular,rule
Carotid Artery Dissection,Carotid Artery Dissection,other,Other / manual review,fallback
Tongue Erythema,Tongue Erythema,dermatological,Skin and subcutaneous tissue,rule
Influenza Virus Test Positive,Influenza Virus Test Positive,infection,Infections,rule
Needle Fatigue,Needle Fatigue,general,General symptoms,rule
Cns Ventriculitis,Cns Ventriculitis,other,Other / manual review,fallback
Perineal Fistula,Perineal Fistula,other,Other / manual review,fallback
Urine Amphetamine Positive,Urine Amphetamine Positive,laboratory,Laboratory and investigation,rule
Bradycardia Foetal,Bradycardia Foetal,pregnancy,Pregnancy and perinatal,rule
Anticonvulsant Drug Level Increased,Anticonvulsant Drug Level Increased,medication_error,Medication errors and use issues,rule
Signet-Ring Cell Carcinoma,Signet-Ring Cell Carcinoma,neoplasm,Neoplasms,rule
Retinopathy Hypertensive,Retinopathy Hypertensive,other,Other / manual review,fallback
Culture Urine Positive,Culture Urine Positive,laboratory,Laboratory and investigation,rule
Nasal Cavity Cancer,Nasal Cavity Cancer,neoplasm,Neoplasms,rule
Tumour Obstruction,Tumour Obstruction,neoplasm,Neoplasms,rule
Viral Tonsillitis,Viral Tonsillitis,infection,Infections,rule
Post Procedural Erythema,Post Procedural Erythema,dermatological,Skin and subcutaneous tissue,rule
Cerebral Artery Thrombosis,Cerebral Artery Thrombosis,cardiovascular,Cardiovascular,rule
Restrictive Cardiomyopathy,Restrictive Cardiomyopathy,other,Other / manual review,fallback
Abortion Of Ectopic Pregnancy,Abortion Of Ectopic Pregnancy,pregnancy,Pregnancy and perinatal,rule
Patient Dissatisfaction With Device,Patient Dissatisfaction With Device,device,Device and procedure-related,rule
Urethral Pain,Urethral Pain,renal_urinary,Renal and urinary,rule
Implant Site Paraesthesia,Implant Site Paraesthesia,device,Device and procedure-related,rule
Antisocial Behaviour,Antisocial Behaviour,psychiatric,Psychiatric and behavioural,rule
Complicated Appendicitis,Complicated Appendicitis,other,Other / manual review,fallback
Floppy Iris Syndrome,Floppy Iris Syndrome,other,Other / manual review,fallback
Genital Candidiasis,Genital Candidiasis,other,Other / manual review,fallback
Aortic Valve Thickening,Aortic Valve Thickening,cardiovascular,Cardiovascular,rule
Retinal Scar,Retinal Scar,ocular,Eye and vision,rule
Lymphocyte Morphology Abnormal,Lymphocyte Morphology Abnormal,laboratory,Laboratory and investigation,rule
Blood Mercury Abnormal,Blood Mercury Abnormal,laboratory,Laboratory and investigation,rule
Blood Follicle Stimulating Hormone Increased,Blood Follicle Stimulating Hormone Increased,laboratory,Laboratory and investigation,rule
Benign Salivary Gland Neoplasm,Benign Salivary Gland Neoplasm,neoplasm,Neoplasms,rule
Diffuse Large B-Cell Lymphoma Stage Iii,Diffuse Large B-Cell Lymphoma Stage Iii,neoplasm,Neoplasms,rule
Wound Sepsis,Wound Sepsis,infection,Infections,rule
Retrograde Amnesia,Retrograde Amnesia,other,Other / manual review,fallback
Spigelian Hernia,Spigelian Hernia,other,Other / manual review,fallback
Detachment Of Retinal Pigment Epithelium,Detachment Of Retinal Pigment Epithelium,ocular,Eye and vision,rule
Gastrointestinal Melanosis,Gastrointestinal Melanosis,laboratory,Laboratory and investigation,rule
Congenital Multiplex Arthrogryposis,Congenital Multiplex Arthrogryposis,other,Other / manual review,fallback
Abdominal Symptom,Abdominal Symptom,gastrointestinal,Gastrointestinal,rule
Disturbance Of Thermoregulation Of Newborn,Disturbance Of Thermoregulation Of Newborn,pregnancy,Pregnancy and perinatal,rule
Vitreoretinal Traction Syndrome,Vitreoretinal Traction Syndrome,ocular,Eye and vision,rule
Dyskinesia Oesophageal,Dyskinesia Oesophageal,gastrointestinal,Gastrointestinal,rule
Brown Tumour,Brown Tumour,neoplasm,Neoplasms,rule
Corneal Deposits,Corneal Deposits,ocular,Eye and vision,rule
Antiphospholipid Antibodies,Antiphospholipid Antibodies,endocrine,Endocrine and metabolic,rule
Aortic Valve Calcification,Aortic Valve Calcification,cardiovascular,Cardiovascular,rule
Meibomian Gland Dysfunction,Meibomian Gland Dysfunction,other,Other / manual review,fallback
Short-Bowel Syndrome,Short-Bowel Syndrome,gastrointestinal,Gastrointestinal,rule
Hepatic Ischaemia,Hepatic Ischaemia,gastrointestinal,Gastrointestinal,rule
Retinal Infarction,Retinal Infarction,ocular,Eye and vision,rule
Tooth Development Disorder,Tooth Development Disorder,other,Other / manual review,fallback
Pyloric Stenosis,Pyloric Stenosis,other,Other / manual review,fallback
Wound Evisceration,Wound Evisceration,injury,Injury and poisoning,rule
Exposure To Allergen,Exposure To Allergen,injury,Injury and poisoning,rule
Crush Injury,Crush Injury,injury,Injury and poisoning,rule
Blood Creatine Phosphokinase Mb Increased,Blood Creatine Phosphokinase Mb Increased,laboratory,Laboratory and investigation,rule
Stomal Hernia,Stomal Hernia,other,Other / manual review,fallback
Dermo-Hypodermitis,Dermo-Hypodermitis,other,Other / manual review,fallback
Hodgkin^S Disease Recurrent,Hodgkin^S Disease Recurrent,other,Other / manual review,fallback
Pulmonary Hypertensive Crisis,Pulmonary Hypertensive Crisis,respiratory,Respiratory,rule
Blood Electrolytes Increased,Blood Electrolytes Increased,laboratory,Laboratory and investigation,rule
Cardiac Ventricular Disorder,Cardiac Ventricular Disorder,cardiovascular,Cardiovascular,rule
Gastrostomy Tube Site Complication,Gastrostomy Tube Site Complication,gastrointestinal,Gastrointestinal,rule
Ischaemic Nephropathy,Ischaemic Nephropathy,renal_urinary,Renal and urinary,rule
Transplantation Associated Food Allergy,Transplantation Associated Food Allergy,immune_inflammatory,Immune and inflammatory,rule
Cytotoxic Oedema,Cytotoxic Oedema,dermatological,Skin and subcutaneous tissue,rule
Polyglandular Autoimmune Syndrome Type Ii,Polyglandular Autoimmune Syndrome Type Ii,immune_inflammatory,Immune and inflammatory,rule
Cerebral Small Vessel Ischaemic Disease,Cerebral Small Vessel Ischaemic Disease,neurological,Nervous system and neurological,rule
Oestrogen Deficiency,Oestrogen Deficiency,other,Other / manual review,fallback
Cataract Nuclear,Cataract Nuclear,other,Other / manual review,fallback
Hepatic Artery Thrombosis,Hepatic Artery Thrombosis,cardiovascular,Cardiovascular,rule
Macular Detachment,Macular Detachment,ocular,Eye and vision,rule
